objectid,scan_center_ids,latitude,longitude,title,data_repo_link,center_visuals_path,display_template
center001,indiana,41.07773159,-85.14224798,Allen County Public Library Geneaology Center,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,allen_county_public_library_geneaology_center/,scan_center
center002,tt_amnh,"40.78192527034579,",-73.97246471,American Museum of Natural History,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,american_museum_of_natural_history/,scan_center
center003,tt_numismatic,40.72401342,-74.0064435,American Numismatic Society,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,american_numismatic_society/,scan_center
center004,tt_louisville,38.25759766,-85.71422071,American Printing House for the Blind,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,american_printing_house_for_the_blind/,scan_center
center005,tt_swinburne,-37.82169275,145.0389975,Analysis and Policy Observatory (APO),https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,analysis_and_policy_observatory_(apo)/,scan_center
center007,boston; Boston; tt_bostonuniversity,42.34936189,-71.07819992,Boston Public Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,boston_public_library/,scan_center
center008,euston,51.528702,-0.12761,British Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,british_library/,scan_center
center009,providence; tt_providence,41.82598954,-71.40246227,Brown University,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,brown_university/,scan_center
center010,honolulu,21.64181757,-157.9265819,"BYU, Hawaii",https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,byu_hawaii/,scan_center
center011,rexburg,43.81513782,-111.7835769,"BYU, Idaho Family History Library",https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,byu_idaho_family_history_library/,scan_center
center012,provo; brussels,"40.24888001047114, -111.64850939879179",-111.66089,"BYU, Provo",https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,byu_provo/,scan_center
center013,tt_calacademy,37.77042434,-122.4661162,California Academy of Sciences,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,california_academy_of_sciences/,scan_center
center014,sacramento,38.57603262,-121.4962643,California State Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,california_state_library/,scan_center
center015,tt_jakarta,-6.176488669,106.8174559,"Centre for Strategic and International Studies, Jakarta",https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,centre_for_strategic_and_international_studies_jakarta/,scan_center
center016,saltlakecity,40.77200728,-111.8906814,Church History Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,church_history_library/,scan_center
center017,tt_clatsopcounty,46.18852036,-123.8254003,Clatsop County Historical Society,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,clatsop_county_historical_society/,scan_center
center018,clemson,34.67345992,-82.8367119,Clemson University,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,clemson_university/,scan_center
center019,nyc,40.80657713,-73.96320572,Columbia University,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,columbia_university/,scan_center
center020,shenzhen; china,113.9856083,"22.598147246440938,",Datum Data Co. Ltd.,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,datum_data_co_ltd/,scan_center
center021,durham; durham2; Durham,36.00354706,-78.93830223,Duke University,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,duke_university/,scan_center
center022,utah,40.77037084,-111.8945972,Family Search Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,family_search_library/,scan_center
center023,tt_georgetown,"38.90659980589519, -77.07223903173019",-77.07212976,Georgetown University,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,georgetown_university/,scan_center
center024,tt_getty; valencia,34.07768084,-118.4752916,Getty Research Institute,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,getty_research_institute/,scan_center
center025,hamilton,43.26097698,-79.8703973,Hamilton Public Library,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,hamilton_public_library/,scan_center
center026,tt_harvardernstmayr; tt_harvardwidener,42.37690652,-71.11665402,Harvard,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,harvard/,scan_center
center027,hongkong; Hong Kong,22.31836625,114.181248,Hong Kong,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,hong_kong/,scan_center
center028,poughkeepsie,41.58494026,-73.8016634,Hopewell Junction,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,hopewell_junction/,scan_center
center029,cebu,10.31803327,123.9205454,"Innodata Knowledge Services, Inc.",https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,innodata_knowledge_services_inc/,scan_center
center030,IIIT Hyderabad; CCLHYDERBAD; CCLHYDERABAD; S.V.Digital LibraryTTD; CCL HYDERABAD,17.45672402,78.34022488,International Institute of Information Technology Hyderabad,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,,scan_center
center031,sfdowntown; tt_sanfrancisco; arch; sanfrancisco,37.78244229,-122.4717902,Internet Archive Headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,internet_archive_headquarters/,scan_center
center032,sheridan; miss,37.80039616,-122.4603638,Internet Archive Sheridan Headquarters,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,internet_archive_sheridan_headquarters/,scan_center
center033,rich; richmond; richflorida,37.92950359,-122.3459874,Internt Archive Physical Archive,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,internt_archive_physical_archive/,scan_center
center034,clarksville,-76.90066207,-87.36517104,John Hopkins University Library Offsite Storage,https://raw.githubusercontent.com/ers6/ia_scanning_labor_data/main/center_visuals/,john_hopkins_university_library_offsite_storage/,scan_center
